properties.subDivision,Longitude,Latitude
GA,-84.1755,34.160097
GA,-84.482705,33.923191
GA,-84.142448,34.187035
AL,-87.601478,33.304155
GA,-84.410688,33.96681
AL,-86.802661,33.225576
MO,-89.89167,37.71162
AR,-90.206069,35.213227
AR,-90.185161,35.16586
GA,-85.093285,33.572155
NC,-83.392484,35.163435
GA,-84.466945,33.92018
GA,-84.53204,33.876029
GA,-85.037446,33.595311
GA,-84.731331,33.750694
KY,-84.938684,38.693575
GA,-84.262111,34.067434
GA,-84.318421,34.019781
GA,-84.350626,33.994807
NC,-83.372033,35.186957
GA,-84.57679,33.835681
GA,-84.762733,33.724514
GA,-84.474586,33.900566
GA,-84.736538,33.730942
GA,-85.073855,33.561091
AL,-87.516056,33.261881
GA,-84.203944,34.090602
GA,-84.117769,34.164011
IL,-87.754757,39.006004
GA,-84.476479,33.883873
MS,-88.366135,33.493815
MO,-90.397992,36.736194
MS,-88.434176,33.517243
GA,-84.429848,33.905064
GA,-84.15319,34.112771
GA,-84.609331,33.781591
KY,-83.949294,38.074737
GA,-84.224408,34.049413
MS,-88.659553,33.605924
MO,-90.411236,36.7556
KY,-84.308638,38.379594
AL,-86.615788,33.179605
GA,-84.668992,33.733526
GA,-84.378571,33.91988
AL,-87.578195,33.240304
AL,-85.825595,33.275605
GA,-84.274328,33.989644
GA,-84.53053,33.806324
GA,-84.168426,34.069106
IL,-89.804888,37.926511
GA,-84.492468,33.827199
IN,-87.424377,39.102352
GA,-84.302963,33.957855
MO,-90.431569,36.787517
GA,-84.337704,33.926833
MS,-89.953447,34.623659
IN,-86.531708,39.145859
GA,-84.354092,33.908859
IN,-85.638333,39.012966
AR,-90.504546,36.053247
NC,-83.213003,35.378001
AL,-86.749609,33.147222
GA,-84.079111,34.121851
KY,-83.898922,38.086025
GA,-84.429665,33.847015
AL,-87.479806,33.197958
GA,-84.381409,33.873859
IL,-89.12487,38.526405
GA,-84.313468,33.921217
IL,-88.9652,38.625297
AL,-86.260598,33.166988
IN,-86.57163,39.165085
AL,-87.529224,33.197021
AR,-90.431867,35.528519
AL,-87.567622,33.202969
GA,-83.841533,34.331681
IN,-86.495374,39.164881
TN,-83.045,36.224534
GA,-84.212918,33.98595
AL,-87.448211,33.175727
GA,-84.328892,33.894117
GA,-83.857672,34.298913
GA,-84.573866,33.728949
GA,-84.170935,34.005349
IL,-89.371749,38.385696
IL,-89.158943,38.532098
GA,-84.241531,33.945576
AR,-90.547295,36.059562
GA,-84.302147,33.897263
GA,-84.503471,33.757763
GA,-83.398982,34.875579
IN,-86.533684,39.187175
GA,-84.381729,33.835169
GA,-84.340733,33.859733
GA,-84.413184,33.809216
GA,-84.093832,34.048543
AL,-87.524781,33.165292
GA,-84.26739,33.908967
GA,-83.829895,34.292545
AL,-86.861327,33.101126
TN,-83.015377,36.397724
GA,-84.129738,34.009014
IL,-89.70304,38.138898
KY,-83.39865,37.561352
GA,-84.204949,33.944627
GA,-83.797077,34.312679
MS,-89.896382,34.436717
GA,-84.312744,33.856457
GA,-84.467307,33.750939
GA,-84.012009,34.094597
IN,-86.592077,39.214032
GA,-84.274825,33.880838
GA,-84.507647,33.722861
GA,-84.338185,33.832473
GA,-83.865479,34.22718
GA,-84.406922,33.784941
GA,-83.952442,34.142629
AL,-87.543419,33.146675
KY,-84.600204,38.683255
GA,-84.351816,33.819928
AR,-90.586853,36.412708
GA,-84.332562,33.83021
GA,-84.254662,33.885994
GA,-84.313264,33.841824
IN,-86.23856,39.201601
GA,-84.208199,33.910393
GA,-84.052897,34.035238
AR,-90.550108,35.679372
GA,-83.519485,34.604275
KY,-83.199841,37.26112
KY,-83.210242,37.288021
GA,-84.417269,33.754277
GA,-84.172318,33.923847
GA,-84.131516,33.953613
VA,-83.017528,36.762223
GA,-84.425756,33.738166
GA,-84.070101,33.999962
GA,-84.369594,33.774301
GA,-83.991028,34.063698
GA,-84.092146,33.976607
GA,-84.392797,33.753826
GA,-84.257767,33.843369
GA,-84.611539,33.61277
GA,-84.120875,33.939723
GA,-83.545601,34.511589
GA,-84.307307,33.790254
IN,-85.948896,39.199828
GA,-83.988891,34.036275
GA,-84.274839,33.810284
GA,-84.216934,33.849751
GA,-84.187752,33.868179
MS,-89.915741,34.351707
KY,-83.75325,38.129141
IN,-85.917949,39.201083
GA,-84.494354,33.654648
GA,-84.349587,33.741796
GA,-84.295807,33.778214
IN,-86.756885,39.286789
GA,-84.056383,33.956078
GA,-84.408475,33.698148
GA,-84.119125,33.903988
GA,-84.200359,33.84085
GA,-83.91713,34.07355
GA,-83.874455,34.108447
GA,-84.416265,33.680817
